"date","freq"
"2016-04-25",20
"2016-04-22",20
"2016-04-04",20
"2016-03-31",20
"2016-03-26",20
"2016-03-20",20
"2015-07-08",20
"2015-06-14",20
"2015-06-02",20
"2015-06-01",20
"2015-04-07",20
"2015-04-01",20
"2015-03-08",20
"2015-02-24",20
"2015-02-16",20
"2018-07-30",19
"2018-07-17",19
"2018-04-26",19
"2018-03-14",19
"2018-02-27",19
"2018-02-26",19
"2017-12-13",19
"2017-11-01",19
"2017-10-12",19
"2017-10-11",19
"2017-09-06",19
"2017-09-01",19
"2017-07-22",19
"2017-07-13",19
"2017-04-16",19
"2017-02-21",19
"2017-02-09",19
"2017-01-31",19
"2016-12-30",19
"2016-12-21",19
"2016-11-29",19
"2016-11-28",19
"2016-06-24",19
"2016-06-17",19
"2016-04-05",19
"2016-03-28",19
"2015-07-04",19
"2015-05-11",19
"2015-03-28",19
"2015-03-26",19
"2015-03-17",19
"2015-03-15",19
"2015-03-03",19
"2015-02-03",19
"2015-01-31",19
"2015-01-27",19
"2018-08-10",18
"2018-08-02",18
"2018-06-01",18
"2018-05-11",18
"2018-04-25",18
"2018-04-20",18
"2018-01-26",18
"2017-12-30",18
"2017-11-16",18
"2017-10-19",18
"2017-10-05",18
"2017-09-19",18
"2017-09-11",18
"2017-07-14",18
"2017-07-11",18
"2017-02-28",18
"2017-02-23",18
"2017-02-11",18
"2017-02-04",18
"2017-01-17",18
"2017-01-02",18
"2016-12-20",18
"2016-12-15",18
"2016-12-14",18
"2016-12-12",18
"2016-12-09",18
"2016-11-27",18
"2016-11-26",18
"2016-11-24",18
"2016-07-05",18
"2016-06-01",18
"2016-05-24",18
"2016-05-21",18
"2016-05-09",18
"2016-04-18",18
"2016-04-03",18
"2015-06-15",18
"2015-04-03",18
"2015-03-14",18
"2015-02-28",18
"2015-02-21",18
"2015-02-08",18
"2018-09-18",17
"2018-09-15",17
"2018-09-06",17
"2018-07-25",17
"2018-07-24",17
"2018-07-06",17
"2018-06-21",17
"2018-06-07",17
"2018-04-03",17
"2018-02-22",17
"2018-02-15",17
"2018-02-06",17
"2018-01-16",17
"2017-10-21",17
"2017-10-07",17
"2017-08-28",17
"2017-07-19",17
"2017-07-12",17
"2017-07-05",17
"2017-07-04",17
"2017-07-02",17
"2017-06-30",17
"2017-04-01",17
"2017-03-14",17
"2017-02-16",17
"2017-01-30",17
"2017-01-11",17
"2017-01-03",17
"2016-12-31",17
"2016-07-02",17
"2016-06-05",17
"2016-05-31",17
"2016-05-26",17
"2016-05-11",17
"2016-05-04",17
"2015-04-05",17
"2018-11-13",16
"2018-11-06",16
"2018-11-03",16
"2018-07-12",16
"2018-06-27",16
"2018-06-25",16
"2018-06-22",16
"2018-05-25",16
"2018-05-19",16
"2018-05-12",16
"2018-04-02",16
"2018-03-01",16
"2018-02-25",16
"2018-02-24",16
"2018-02-10",16
"2017-12-14",16
"2017-12-08",16
"2017-12-01",16
"2017-09-20",16
"2017-09-18",16
"2017-09-14",16
"2017-09-08",16
